#timebase=20000000000(ps)
,#voltbase=500000(mv/100)
#size=40064
1.00E-02,3.040
1.00E-02,3.160
1.01E-02,3.000
1.01E-02,3.000
1.01E-02,3.020
1.01E-02,3.000
1.02E-02,3.020
1.02E-02,3.000
1.02E-02,3.020
1.03E-02,3.020
1.03E-02,3.020
1.03E-02,3.020
1.03E-02,3.020
1.03E-02,3.020
1.04E-02,3.020
1.04E-02,3.020
1.04E-02,3.020
1.04E-02,3.020
1.05E-02,3.020
1.05E-02,2.980
1.05E-02,3.020
1.06E-02,3.020
1.06E-02,3.020
1.06E-02,3.020
1.06E-02,3.020
1.06E-02,3.020
1.07E-02,3.020
1.07E-02,3.040
1.07E-02,3.040
1.07E-02,3.040
1.08E-02,3.040
1.08E-02,3.040
1.08E-02,3.040
1.09E-02,3.040
1.09E-02,3.040
1.09E-02,3.000
1.09E-02,3.020
1.09E-02,3.020
1.10E-02,3.020
1.10E-02,3.000
1.10E-02,3.020
1.11E-02,3.000
1.11E-02,3.020
1.11E-02,3.020
1.11E-02,2.980
1.12E-02,3.020
1.12E-02,3.020
1.12E-02,3.020
1.12E-02,3.040
1.12E-02,3.040
1.13E-02,3.040
1.13E-02,3.000
1.13E-02,3.020
1.14E-02,3.020
1.14E-02,2.940
1.14E-02,3.040
1.14E-02,3.020
1.15E-02,3.040
1.15E-02,3.040
1.15E-02,3.020
1.15E-02,3.000
1.15E-02,3.020
1.16E-02,3.040
1.16E-02,3.000
1.16E-02,3.000
1.17E-02,3.000
1.17E-02,3.000
1.17E-02,3.000
1.17E-02,3.020
1.18E-02,3.020
1.18E-02,3.020
1.18E-02,3.020
1.18E-02,3.000
1.18E-02,3.020
1.19E-02,3.040
1.19E-02,3.040
1.19E-02,3.020
1.20E-02,3.000
1.20E-02,3.020
1.20E-02,3.000
1.20E-02,3.020
1.20E-02,3.000
1.21E-02,3.020
1.21E-02,3.020
1.21E-02,3.020
1.21E-02,3.020
1.22E-02,3.020
1.22E-02,3.020
1.22E-02,3.020
1.23E-02,3.040
1.23E-02,3.040
1.23E-02,3.040
1.23E-02,3.040
1.23E-02,3.040
1.24E-02,3.000
1.24E-02,3.020
1.24E-02,3.020
1.24E-02,3.020
1.25E-02,3.000
1.25E-02,3.020
1.25E-02,3.020
1.26E-02,3.020
1.26E-02,3.000
1.26E-02,3.000
1.26E-02,3.020
1.26E-02,3.020
1.27E-02,3.020
1.27E-02,3.040
1.27E-02,3.040
1.27E-02,3.040
1.28E-02,3.040
1.28E-02,3.020
1.28E-02,3.040
1.29E-02,3.040
1.29E-02,3.000
1.29E-02,3.020
1.29E-02,3.020
1.29E-02,3.020
1.30E-02,3.020
1.30E-02,3.020
1.30E-02,3.040
1.31E-02,3.000
1.31E-02,3.020
1.31E-02,3.020
1.31E-02,3.020
1.32E-02,3.020
1.32E-02,3.020
1.32E-02,3.000
1.32E-02,3.020
1.32E-02,3.020
1.33E-02,3.000
1.33E-02,3.020
1.33E-02,3.020
1.34E-02,3.020
1.34E-02,3.020
1.34E-02,3.020
1.34E-02,3.020
1.35E-02,3.000
1.35E-02,3.020
1.35E-02,3.040
1.35E-02,3.040
1.35E-02,3.040
1.36E-02,3.000
1.36E-02,3.000
1.36E-02,3.020
1.37E-02,3.020
1.37E-02,3.020
1.37E-02,3.020
1.37E-02,3.020
1.38E-02,3.020
1.38E-02,3.020
1.38E-02,2.980
1.38E-02,3.020
1.38E-02,3.020
1.39E-02,3.000
1.39E-02,3.020
1.39E-02,3.020
1.40E-02,3.020
1.40E-02,3.020
1.40E-02,3.020
1.40E-02,3.020
1.40E-02,3.020
1.41E-02,2.980
1.41E-02,3.020
1.41E-02,3.020
1.41E-02,3.040
1.42E-02,3.000
1.42E-02,3.000
1.42E-02,3.020
1.43E-02,3.040
1.43E-02,3.040
1.43E-02,3.000
1.43E-02,3.000
1.43E-02,3.020
1.44E-02,3.040
1.44E-02,3.000
1.44E-02,3.020
1.44E-02,3.020
1.45E-02,3.020
1.45E-02,3.000
1.45E-02,3.040
1.46E-02,3.000
1.46E-02,3.000
1.46E-02,3.020
1.46E-02,3.020
1.46E-02,3.020
1.47E-02,3.040
1.47E-02,3.000
1.47E-02,3.040
1.47E-02,3.020
1.48E-02,3.020
1.48E-02,3.040
1.48E-02,3.020
1.49E-02,3.020
1.49E-02,3.020
1.49E-02,3.020
1.49E-02,3.020
1.49E-02,3.120
1.50E-02,3.020
