#flipflop between high and low with a delay of 100ms between changes
#timebase=40000000000(ps)
,#voltbase=1000000(mv/100)
#size=4064
9.52E-02,0.080
9.54E-02,0.080
9.56E-02,0.160
9.58E-02,0.120
9.60E-02,0.080
9.62E-02,0.160
9.64E-02,0.160
9.66E-02,0.120
9.68E-02,0.080
9.70E-02,0.120
9.72E-02,0.080
9.74E-02,0.080
9.76E-02,0.080
9.78E-02,0.080
9.80E-02,0.080
9.82E-02,0.080
9.84E-02,0.080
9.86E-02,0.080
9.88E-02,0.080
9.90E-02,0.080
9.92E-02,0.160
9.94E-02,0.160
9.96E-02,0.120
9.98E-02,0.080
1.00E-01,0.080
1.00E-01,0.160
1.00E-01,0.120
1.01E-01,0.160
1.01E-01,0.120
1.01E-01,0.120
1.01E-01,0.160
1.01E-01,0.080
1.02E-01,0.080
1.02E-01,0.120
1.02E-01,0.080
1.02E-01,0.120
1.02E-01,0.120
1.03E-01,0.080
1.03E-01,0.160
1.03E-01,0.120
1.03E-01,0.080
1.03E-01,0.160
1.04E-01,0.080
1.04E-01,0.080
1.04E-01,0.080
1.04E-01,0.120
1.04E-01,0.080
1.05E-01,0.120
1.05E-01,0.160
1.05E-01,0.120
1.05E-01,0.120
1.05E-01,0.040
1.06E-01,0.080
1.06E-01,4.840
1.06E-01,4.880
1.06E-01,4.840
1.06E-01,4.840
1.07E-01,4.880
1.07E-01,4.880
1.07E-01,4.880
1.07E-01,4.880
1.07E-01,4.800
1.08E-01,4.800
1.08E-01,4.760
1.08E-01,4.760
1.08E-01,4.800
1.08E-01,4.800
1.09E-01,4.720
1.09E-01,4.840
1.09E-01,4.720
1.09E-01,4.720
1.09E-01,4.720
1.10E-01,4.720
1.10E-01,4.720
1.10E-01,4.720
1.10E-01,4.760
1.10E-01,4.760
1.11E-01,4.760
1.11E-01,4.760
1.11E-01,4.760
1.11E-01,4.760
1.11E-01,4.720
1.12E-01,4.760
1.12E-01,4.720
1.12E-01,4.680
1.12E-01,4.720
1.12E-01,4.760
1.13E-01,4.720
1.13E-01,4.720
1.13E-01,4.720
1.13E-01,4.720
1.13E-01,4.720
1.14E-01,4.720
1.14E-01,4.680
1.14E-01,4.680
1.14E-01,4.680
1.14E-01,4.680
1.15E-01,4.720
1.15E-01,4.720
1.15E-01,4.720
1.15E-01,4.720
1.15E-01,4.680
1.16E-01,4.680
1.16E-01,4.720
1.16E-01,4.720
1.16E-01,4.680
1.16E-01,4.680
1.17E-01,4.680
1.17E-01,4.680
1.17E-01,4.680
1.17E-01,4.680
1.17E-01,4.680
1.18E-01,4.680
1.18E-01,4.720
1.18E-01,4.640
1.18E-01,4.720
1.18E-01,4.720
1.19E-01,4.680
1.19E-01,4.720
1.19E-01,4.680
1.19E-01,4.720
1.19E-01,4.680
1.20E-01,4.720
1.20E-01,4.720
1.20E-01,4.720
1.20E-01,4.680
1.20E-01,4.720
1.21E-01,4.760
1.21E-01,4.680
1.21E-01,4.720
1.21E-01,4.680
1.21E-01,4.720
1.22E-01,4.680
1.22E-01,4.680
1.22E-01,4.680
1.22E-01,4.680
1.22E-01,4.680
1.23E-01,4.680
1.23E-01,4.680
1.23E-01,4.680
1.23E-01,4.680
1.23E-01,4.720
1.24E-01,4.680
1.24E-01,4.720
1.24E-01,4.680
1.24E-01,4.720
1.24E-01,4.680
1.25E-01,4.680
1.25E-01,4.680
1.25E-01,4.680
1.25E-01,4.720
1.25E-01,4.680
1.26E-01,4.720
1.26E-01,4.720
1.26E-01,4.720
1.26E-01,4.720
1.26E-01,4.720
1.27E-01,4.720
1.27E-01,4.720
1.27E-01,4.680
1.27E-01,4.680
1.27E-01,4.720
1.28E-01,4.720
1.28E-01,4.680
1.28E-01,4.720
1.28E-01,4.680
1.28E-01,4.720
1.29E-01,4.720
1.29E-01,4.680
1.29E-01,4.680
1.29E-01,4.720
1.29E-01,4.720
1.30E-01,4.720
1.30E-01,4.680
1.30E-01,4.680
1.30E-01,4.720
1.30E-01,4.720
1.31E-01,4.720
1.31E-01,4.720
1.31E-01,4.720
1.31E-01,4.720
1.31E-01,4.680
1.32E-01,4.680
1.32E-01,4.720
1.32E-01,4.720
1.32E-01,4.720
1.32E-01,4.720
1.33E-01,4.680
1.33E-01,4.720
1.33E-01,4.760
1.33E-01,4.720
1.33E-01,4.680
1.34E-01,4.720
1.34E-01,4.720
1.34E-01,4.720
1.34E-01,4.720
1.34E-01,4.760
1.35E-01,4.680
1.35E-01,4.680
1.35E-01,4.720
1.35E-01,4.680
1.35E-01,4.720
1.36E-01,4.680
1.36E-01,4.680
1.36E-01,4.680
1.36E-01,4.680
1.36E-01,4.680
1.37E-01,4.680
1.37E-01,4.720
1.37E-01,4.680
1.37E-01,4.720
1.37E-01,4.680
1.38E-01,4.680
1.38E-01,4.680
1.38E-01,4.720
1.38E-01,4.720
1.38E-01,4.720
1.39E-01,4.680
1.39E-01,4.720
1.39E-01,4.720
1.39E-01,4.720
1.39E-01,4.720
1.40E-01,4.680
1.40E-01,4.720
1.40E-01,4.680
1.40E-01,4.720
1.40E-01,4.720
1.41E-01,4.680
1.41E-01,4.680
1.41E-01,4.680
1.41E-01,4.680
1.41E-01,4.680
1.42E-01,4.680
1.42E-01,4.680
1.42E-01,4.720
1.42E-01,4.720
1.42E-01,4.720
1.43E-01,4.720
1.43E-01,4.680
1.43E-01,4.720
1.43E-01,4.720
1.43E-01,4.680
1.44E-01,4.720
1.44E-01,4.680
1.44E-01,4.720
1.44E-01,4.720
1.44E-01,4.640
1.45E-01,4.680
1.45E-01,4.680
1.45E-01,4.680
1.45E-01,4.720
1.45E-01,4.680
1.46E-01,4.680
1.46E-01,4.720
1.46E-01,4.680
1.46E-01,4.720
1.46E-01,4.720
1.47E-01,4.680
1.47E-01,4.720
1.47E-01,4.720
1.47E-01,4.720
1.47E-01,4.720
1.48E-01,4.720
1.48E-01,4.720
1.48E-01,4.720
1.48E-01,4.720
1.48E-01,4.680
1.49E-01,4.680
1.49E-01,4.720
1.49E-01,4.760
1.49E-01,4.720
1.49E-01,4.680
1.50E-01,4.680
1.50E-01,4.720
1.50E-01,4.680
1.50E-01,4.680
1.50E-01,4.720
1.51E-01,4.720
1.51E-01,4.680
1.51E-01,4.720
1.51E-01,4.680
1.51E-01,4.680
1.52E-01,4.680
1.52E-01,4.680
1.52E-01,4.720
1.52E-01,4.720
1.52E-01,4.720
1.53E-01,4.720
1.53E-01,4.720
1.53E-01,4.680
1.53E-01,4.680
1.53E-01,4.680
1.54E-01,4.680
1.54E-01,4.680
1.54E-01,4.680
1.54E-01,4.680
1.54E-01,4.680
1.55E-01,4.720
1.55E-01,4.720
1.55E-01,4.720
1.55E-01,4.720
1.55E-01,4.720
1.56E-01,4.680
1.56E-01,4.720
1.56E-01,4.720
1.56E-01,4.680
1.56E-01,4.680
1.57E-01,4.680
1.57E-01,4.720
1.57E-01,4.720
1.57E-01,4.680
1.57E-01,4.720
1.58E-01,4.720
1.58E-01,4.720
1.58E-01,4.720
1.58E-01,4.680
1.58E-01,4.680
1.59E-01,4.720
1.59E-01,4.720
1.59E-01,4.720
1.59E-01,4.680
1.59E-01,4.720
1.60E-01,4.720
1.60E-01,4.720
1.60E-01,4.680
1.60E-01,4.680
1.60E-01,4.720
1.61E-01,4.680
1.61E-01,4.720
1.61E-01,4.720
1.61E-01,4.720
1.61E-01,4.720
1.62E-01,4.680
1.62E-01,4.680
1.62E-01,4.680
1.62E-01,4.720
1.62E-01,4.720
1.63E-01,4.680
1.63E-01,4.680
1.63E-01,4.680
1.63E-01,4.680
1.63E-01,4.680
1.64E-01,4.680
1.64E-01,4.680
1.64E-01,4.720
1.64E-01,4.680
1.64E-01,4.760
1.65E-01,4.680
1.65E-01,4.680
1.65E-01,4.680
1.65E-01,4.720
1.65E-01,4.680
1.66E-01,4.720
1.66E-01,4.720
1.66E-01,4.720
1.66E-01,4.720
1.66E-01,4.720
1.67E-01,4.720
1.67E-01,4.680
1.67E-01,4.680
1.67E-01,4.720
1.67E-01,4.680
1.68E-01,4.680
1.68E-01,4.680
1.68E-01,4.720
1.68E-01,4.680
1.68E-01,4.720
1.69E-01,4.720
1.69E-01,4.720
1.69E-01,4.720
1.69E-01,4.680
1.69E-01,4.720
1.70E-01,4.680
1.70E-01,4.720
1.70E-01,4.680
1.70E-01,4.680
1.70E-01,4.680
1.71E-01,4.720
1.71E-01,4.680
1.71E-01,4.720
1.71E-01,4.680
1.71E-01,4.680
1.72E-01,4.720
1.72E-01,4.680
1.72E-01,4.680
1.72E-01,4.720
1.72E-01,4.680
1.73E-01,4.720
1.73E-01,4.640
1.73E-01,4.680
1.73E-01,4.720
1.73E-01,4.680
1.74E-01,4.680
1.74E-01,4.760
1.74E-01,4.680
1.74E-01,4.680
1.74E-01,4.720
1.75E-01,4.720
1.75E-01,4.680
1.75E-01,4.680
1.75E-01,4.720
1.75E-01,4.720
1.76E-01,4.720
1.76E-01,4.720
1.76E-01,4.720
1.76E-01,4.720
1.76E-01,4.720
1.77E-01,4.720
1.77E-01,4.680
1.77E-01,4.720
1.77E-01,4.680
1.77E-01,4.720
1.78E-01,4.680
1.78E-01,4.720
1.78E-01,4.680
1.78E-01,4.720
1.78E-01,4.680
1.79E-01,4.680
1.79E-01,4.720
1.79E-01,4.720
1.79E-01,4.680
1.79E-01,4.680
1.80E-01,4.720
1.80E-01,4.680
1.80E-01,4.720
1.80E-01,4.720
1.80E-01,4.680
1.81E-01,4.680
1.81E-01,4.680
1.81E-01,4.680
1.81E-01,4.680
1.81E-01,4.720
1.82E-01,4.720
1.82E-01,4.680
1.82E-01,4.680
1.82E-01,4.680
1.82E-01,4.680
1.83E-01,4.680
1.83E-01,4.720
1.83E-01,4.720
1.83E-01,4.680
1.83E-01,4.680
1.84E-01,4.720
1.84E-01,4.680
1.84E-01,4.680
1.84E-01,4.680
1.84E-01,4.720
1.85E-01,4.720
1.85E-01,4.720
1.85E-01,4.720
1.85E-01,4.720
1.85E-01,4.680
1.86E-01,4.720
1.86E-01,4.680
1.86E-01,4.680
1.86E-01,4.760
1.86E-01,4.720
1.87E-01,4.680
1.87E-01,4.680
1.87E-01,4.680
1.87E-01,4.720
1.87E-01,4.680
1.88E-01,4.720
1.88E-01,4.720
1.88E-01,4.720
1.88E-01,4.720
1.88E-01,4.680
1.89E-01,4.680
1.89E-01,4.720
1.89E-01,4.720
1.89E-01,4.720
1.89E-01,4.720
1.90E-01,4.680
1.90E-01,4.720
1.90E-01,4.680
1.90E-01,4.720
1.90E-01,4.680
1.91E-01,4.680
1.91E-01,4.680
1.91E-01,4.720
1.91E-01,4.680
1.91E-01,4.680
1.92E-01,4.720
1.92E-01,4.680
1.92E-01,4.760
1.92E-01,4.680
1.92E-01,4.680
1.93E-01,4.720
1.93E-01,4.680
1.93E-01,4.720
1.93E-01,4.680
1.93E-01,4.680
1.94E-01,4.720
1.94E-01,4.720
1.94E-01,4.720
1.94E-01,4.680
1.94E-01,4.680
1.95E-01,4.680
1.95E-01,4.680
1.95E-01,4.720
1.95E-01,4.680
1.95E-01,4.680
1.96E-01,4.760
1.96E-01,4.720
1.96E-01,4.680
1.96E-01,4.720
1.96E-01,4.680
1.97E-01,4.720
1.97E-01,4.680
1.97E-01,4.720
1.97E-01,4.720
1.97E-01,4.720
1.98E-01,4.680
1.98E-01,4.680
1.98E-01,4.680
1.98E-01,4.680
1.98E-01,4.720
1.99E-01,4.720
1.99E-01,4.720
1.99E-01,4.720
1.99E-01,4.680
1.99E-01,4.680
2.00E-01,4.720
2.00E-01,4.720
2.00E-01,4.720
2.00E-01,4.680
2.00E-01,4.720
2.01E-01,4.680
2.01E-01,4.680
2.01E-01,4.720
2.01E-01,4.720
2.01E-01,4.680
2.02E-01,4.720
2.02E-01,4.720
2.02E-01,4.720
2.02E-01,4.720
2.02E-01,4.720
2.03E-01,4.680
2.03E-01,4.720
2.03E-01,4.720
2.03E-01,4.680
2.03E-01,4.640
2.04E-01,4.720
2.04E-01,4.720
2.04E-01,4.680
2.04E-01,4.720
2.04E-01,4.720
2.05E-01,4.680
2.05E-01,4.680
2.05E-01,4.720
2.05E-01,4.680
2.05E-01,4.680
2.06E-01,4.720
2.06E-01,-0.080
2.06E-01,-0.040
2.06E-01,-0.040
2.06E-01,-0.040
2.07E-01,-0.040
2.07E-01,-0.040
2.07E-01,0.000
2.07E-01,-0.040
2.07E-01,-0.040
2.08E-01,0.040
2.08E-01,0.040
2.08E-01,0.000
2.08E-01,0.000
2.08E-01,0.040
2.09E-01,0.080
2.09E-01,0.000
2.09E-01,0.080
2.09E-01,0.080
2.09E-01,0.080
2.10E-01,0.000
2.10E-01,0.080
2.10E-01,0.120
2.10E-01,0.080
2.10E-01,0.080
2.11E-01,0.080
2.11E-01,0.120
2.11E-01,0.080
2.11E-01,0.120
2.11E-01,0.080
2.12E-01,0.080
2.12E-01,0.120
2.12E-01,0.120
2.12E-01,0.120
2.12E-01,0.040
2.13E-01,0.120
2.13E-01,0.080
2.13E-01,0.080
2.13E-01,0.080
2.13E-01,0.120
2.14E-01,0.160
2.14E-01,0.120
2.14E-01,0.120
2.14E-01,0.120
2.14E-01,0.120
2.15E-01,0.120
2.15E-01,0.120
2.15E-01,0.160
2.15E-01,0.160
2.15E-01,0.160
2.16E-01,0.120
2.16E-01,0.120
2.16E-01,0.120
2.16E-01,0.120
2.16E-01,0.080
2.17E-01,0.160
2.17E-01,0.080
2.17E-01,0.120
2.17E-01,0.120
2.17E-01,0.160
2.18E-01,0.080
2.18E-01,0.120
2.18E-01,0.160
2.18E-01,0.080
2.18E-01,0.120
2.19E-01,0.120
2.19E-01,0.160
2.19E-01,0.120
2.19E-01,0.120
2.19E-01,0.160
2.20E-01,0.080
2.20E-01,0.120
2.20E-01,0.120
2.20E-01,0.120
2.20E-01,0.120
2.21E-01,0.080
2.21E-01,0.160
2.21E-01,0.080
2.21E-01,0.080
2.21E-01,0.160
2.22E-01,0.120
2.22E-01,0.080
2.22E-01,0.080
2.22E-01,0.080
2.22E-01,0.160
2.23E-01,0.120
2.23E-01,0.080
2.23E-01,0.080
2.23E-01,0.120
