#timebase=40000000000(ps)
,#voltbase=500000(mv/100)
#size=4064
7.02E-02,2.260
7.03E-02,2.260
7.04E-02,2.260
7.05E-02,2.260
7.06E-02,2.260
7.07E-02,2.260
7.08E-02,2.240
7.09E-02,2.240
7.10E-02,2.260
7.11E-02,2.240
7.12E-02,2.260
7.13E-02,2.240
7.14E-02,2.260
7.15E-02,2.260
7.16E-02,2.220
7.17E-02,2.240
7.18E-02,2.240
7.19E-02,2.260
7.20E-02,2.220
7.21E-02,2.240
7.22E-02,2.240
7.23E-02,2.220
7.24E-02,2.240
7.25E-02,2.220
7.26E-02,2.240
7.27E-02,2.240
7.28E-02,2.240
7.29E-02,2.240
7.30E-02,2.240
7.31E-02,2.240
7.32E-02,2.220
7.33E-02,2.220
7.34E-02,2.240
7.35E-02,2.240
7.36E-02,2.220
7.37E-02,2.200
7.38E-02,2.220
7.39E-02,2.200
7.40E-02,2.240
7.41E-02,2.200
7.42E-02,2.200
7.43E-02,2.220
7.44E-02,2.220
7.45E-02,2.220
7.46E-02,2.180
7.47E-02,2.200
7.48E-02,2.180
7.49E-02,2.220
7.50E-02,2.180
7.51E-02,2.220
7.52E-02,2.180
7.53E-02,2.200
7.54E-02,2.200
7.55E-02,2.200
7.56E-02,2.200
7.57E-02,2.180
7.58E-02,2.180
7.59E-02,2.200
7.60E-02,2.200
7.61E-02,2.200
7.62E-02,2.200
7.63E-02,2.160
7.64E-02,2.160
7.65E-02,2.160
7.66E-02,2.160
7.67E-02,2.160
7.68E-02,2.200
7.69E-02,2.160
7.70E-02,2.160
7.71E-02,2.160
7.72E-02,2.160
7.73E-02,2.160
7.74E-02,2.160
7.75E-02,2.160
7.76E-02,2.180
7.77E-02,2.160
7.78E-02,2.160
7.79E-02,2.160
7.80E-02,2.160
7.81E-02,2.160
7.82E-02,2.160
7.83E-02,2.160
7.84E-02,2.180
7.85E-02,2.180
7.86E-02,2.160
7.87E-02,2.160
7.88E-02,2.140
7.89E-02,2.160
7.90E-02,2.140
7.91E-02,2.140
7.92E-02,2.120
7.93E-02,2.160
7.94E-02,2.140
7.95E-02,2.160
7.96E-02,2.140
7.97E-02,2.140
7.98E-02,2.120
7.99E-02,2.120
8.00E-02,2.140
8.01E-02,2.140
8.02E-02,2.160
8.03E-02,2.140
8.04E-02,2.140
8.05E-02,2.140
8.06E-02,2.160
8.07E-02,2.120
8.08E-02,2.160
8.09E-02,2.120
8.10E-02,2.140
8.11E-02,2.140
8.12E-02,2.140
8.13E-02,2.140
8.14E-02,2.120
8.15E-02,2.120
8.16E-02,2.120
8.17E-02,2.120
8.18E-02,2.140
8.19E-02,2.140
8.20E-02,2.120
8.21E-02,2.140
8.22E-02,2.120
8.23E-02,2.120
8.24E-02,2.120
8.25E-02,2.100
8.26E-02,2.100
8.27E-02,2.080
8.28E-02,2.080
8.29E-02,2.140
8.30E-02,2.140
8.31E-02,2.100
8.32E-02,2.120
8.33E-02,2.120
8.34E-02,2.120
8.35E-02,2.100
8.36E-02,2.080
8.37E-02,2.080
8.38E-02,2.080
8.39E-02,2.080
8.40E-02,2.080
8.41E-02,2.120
8.42E-02,2.100
8.43E-02,2.080
8.44E-02,2.100
8.45E-02,2.100
8.46E-02,2.080
8.47E-02,2.060
8.48E-02,2.100
8.49E-02,2.060
8.50E-02,2.060
8.51E-02,2.080
8.52E-02,2.060
8.53E-02,2.080
8.54E-02,2.080
8.55E-02,2.080
8.56E-02,2.100
8.57E-02,2.080
8.58E-02,2.080
8.59E-02,2.080
8.60E-02,2.080
8.61E-02,2.080
8.62E-02,2.080
8.63E-02,2.080
8.64E-02,2.040
8.65E-02,2.080
8.66E-02,2.080
8.67E-02,2.060
8.68E-02,2.080
8.69E-02,2.060
8.70E-02,2.080
8.71E-02,2.040
8.72E-02,2.100
8.73E-02,2.060
8.74E-02,2.060
8.75E-02,2.060
8.76E-02,2.040
8.77E-02,2.060
8.78E-02,2.060
8.79E-02,2.040
8.80E-02,2.040
8.81E-02,2.060
8.82E-02,2.040
8.83E-02,2.040
8.84E-02,2.060
8.85E-02,2.060
8.86E-02,2.060
8.87E-02,2.060
8.88E-02,2.040
8.89E-02,2.040
8.90E-02,2.060
8.91E-02,2.040
8.92E-02,2.040
8.93E-02,2.040
8.94E-02,2.060
8.95E-02,2.060
8.96E-02,2.020
8.97E-02,2.020
8.98E-02,2.040
8.99E-02,2.060
9.00E-02,2.040
9.01E-02,2.040
9.02E-02,2.040
9.03E-02,2.020
9.04E-02,2.020
9.05E-02,2.040
9.06E-02,2.020
9.07E-02,2.020
9.08E-02,2.040
9.09E-02,2.040
9.10E-02,2.000
9.11E-02,2.000
9.12E-02,2.020
9.13E-02,2.020
9.14E-02,2.040
9.15E-02,2.020
9.16E-02,2.040
9.17E-02,2.020
9.18E-02,2.040
9.19E-02,2.020
9.20E-02,2.000
9.21E-02,2.000
9.22E-02,2.020
9.23E-02,2.020
9.24E-02,2.000
9.25E-02,2.000
9.26E-02,2.020
9.27E-02,2.020
9.28E-02,2.000
9.29E-02,2.020
9.30E-02,2.020
9.31E-02,1.980
9.32E-02,2.000
9.33E-02,1.980
9.34E-02,2.000
9.35E-02,1.980
9.36E-02,2.000
9.37E-02,2.000
9.38E-02,1.980
9.39E-02,1.980
9.40E-02,1.980
9.41E-02,2.000
9.42E-02,1.980
9.43E-02,1.980
9.44E-02,2.000
9.45E-02,2.000
9.46E-02,2.000
9.47E-02,2.000
9.48E-02,2.000
9.49E-02,2.000
9.50E-02,1.980
9.51E-02,1.980
9.52E-02,1.980
9.53E-02,2.000
9.54E-02,1.980
9.55E-02,1.980
9.56E-02,1.980
9.57E-02,1.960
9.58E-02,2.000
9.59E-02,1.960
9.60E-02,1.960
9.61E-02,1.960
9.62E-02,1.980
9.63E-02,1.980
9.64E-02,1.960
9.65E-02,1.960
9.66E-02,1.960
9.67E-02,1.960
9.68E-02,1.960
9.69E-02,1.960
9.70E-02,1.980
9.71E-02,1.980
9.72E-02,1.980
9.73E-02,1.960
9.74E-02,1.960
9.75E-02,1.940
9.76E-02,1.960
9.77E-02,1.960
9.78E-02,1.960
9.79E-02,1.960
9.80E-02,1.940
9.81E-02,1.960
9.82E-02,1.960
9.83E-02,1.940
9.84E-02,1.940
9.85E-02,1.960
9.86E-02,1.940
9.87E-02,1.940
9.88E-02,1.940
9.89E-02,1.960
9.90E-02,1.960
9.91E-02,1.940
9.92E-02,1.960
9.93E-02,1.960
9.94E-02,1.940
9.95E-02,1.940
9.96E-02,1.940
9.97E-02,1.940
9.98E-02,1.960
9.99E-02,1.940
1.00E-01,1.940
1.00E-01,1.940
1.00E-01,1.940
1.00E-01,1.940
1.00E-01,1.920
1.01E-01,1.920
1.01E-01,1.920
1.01E-01,1.940
1.01E-01,1.940
1.01E-01,1.920
1.01E-01,1.920
1.01E-01,1.920
1.01E-01,1.940
1.01E-01,1.920
1.01E-01,1.920
1.02E-01,1.920
1.02E-01,1.900
1.02E-01,1.900
1.02E-01,1.900
1.02E-01,1.920
1.02E-01,1.920
1.02E-01,1.920
1.02E-01,1.920
1.02E-01,1.900
1.02E-01,1.900
1.02E-01,1.900
1.03E-01,1.900
1.03E-01,1.920
1.03E-01,1.920
1.03E-01,1.900
1.03E-01,1.900
1.03E-01,1.880
1.03E-01,1.880
1.03E-01,1.920
1.03E-01,1.920
1.03E-01,1.900
1.04E-01,1.880
1.04E-01,1.920
1.04E-01,1.920
1.04E-01,1.900
1.04E-01,1.880
1.04E-01,1.920
1.04E-01,1.920
1.04E-01,1.900
1.04E-01,1.900
1.04E-01,1.900
1.05E-01,1.900
1.05E-01,1.880
1.05E-01,1.880
1.05E-01,1.880
1.05E-01,1.860
1.05E-01,1.880
1.05E-01,1.860
1.05E-01,1.860
1.05E-01,1.860
1.05E-01,1.900
1.06E-01,1.920
1.06E-01,1.880
1.06E-01,1.880
1.06E-01,1.860
1.06E-01,1.880
1.06E-01,1.860
1.06E-01,1.900
1.06E-01,1.880
1.06E-01,1.880
1.06E-01,1.880
1.07E-01,1.860
1.07E-01,1.880
1.07E-01,1.880
1.07E-01,1.880
1.07E-01,1.840
1.07E-01,1.880
1.07E-01,1.860
1.07E-01,1.880
1.07E-01,1.880
1.07E-01,1.860
1.08E-01,1.840
1.08E-01,1.840
1.08E-01,1.860
1.08E-01,1.840
1.08E-01,1.860
1.08E-01,1.860
1.08E-01,1.880
1.08E-01,1.860
1.08E-01,1.860
1.08E-01,1.860
1.09E-01,1.860
1.09E-01,1.860
1.09E-01,1.840
1.09E-01,1.860
1.09E-01,1.880
1.09E-01,1.860
1.09E-01,1.860
1.09E-01,1.880
1.09E-01,1.840
1.10E-01,1.860
1.10E-01,1.840
1.10E-01,1.860
1.10E-01,1.880
1.10E-01,1.860
1.10E-01,1.840
1.10E-01,1.860
1.10E-01,1.860
1.10E-01,1.880
1.10E-01,1.840
1.11E-01,1.820
1.11E-01,1.840
1.11E-01,1.860
1.11E-01,1.840
1.11E-01,1.820
1.11E-01,1.840
1.11E-01,1.860
1.11E-01,1.840
1.11E-01,1.820
1.11E-01,1.840
1.12E-01,1.820
1.12E-01,1.840
1.12E-01,1.860
1.12E-01,1.840
1.12E-01,1.820
1.12E-01,1.820
1.12E-01,1.820
1.12E-01,1.840
1.12E-01,1.800
1.12E-01,1.840
1.13E-01,1.820
1.13E-01,1.820
1.13E-01,1.800
1.13E-01,1.820
1.13E-01,1.820
1.13E-01,1.800
1.13E-01,1.800
1.13E-01,1.820
1.13E-01,1.820
1.13E-01,1.820
1.14E-01,1.800
1.14E-01,1.820
1.14E-01,1.820
1.14E-01,1.820
1.14E-01,1.820
1.14E-01,1.800
1.14E-01,1.800
1.14E-01,1.820
1.14E-01,1.800
1.14E-01,1.800
1.15E-01,1.800
1.15E-01,1.800
1.15E-01,1.800
1.15E-01,1.820
1.15E-01,1.800
1.15E-01,1.800
1.15E-01,1.800
1.15E-01,1.800
1.15E-01,1.800
1.15E-01,1.800
1.16E-01,1.800
1.16E-01,1.780
1.16E-01,1.800
1.16E-01,1.820
1.16E-01,1.780
1.16E-01,1.780
1.16E-01,1.800
1.16E-01,1.780
1.16E-01,1.800
1.16E-01,1.780
1.17E-01,1.800
1.17E-01,1.800
1.17E-01,1.800
1.17E-01,1.780
1.17E-01,1.780
1.17E-01,1.800
1.17E-01,1.760
1.17E-01,1.780
1.17E-01,1.780
1.17E-01,1.800
1.17E-01,1.800
1.18E-01,1.780
1.18E-01,1.780
1.18E-01,1.760
1.18E-01,1.780
1.18E-01,1.760
1.18E-01,1.760
1.18E-01,1.780
1.18E-01,1.800
1.18E-01,1.780
1.18E-01,1.780
1.19E-01,1.780
1.19E-01,1.780
1.19E-01,1.780
1.19E-01,1.760
1.19E-01,1.780
1.19E-01,1.760
1.19E-01,1.780
1.19E-01,1.740
1.19E-01,1.760
1.19E-01,1.780
1.20E-01,1.760
1.20E-01,1.760
1.20E-01,1.780
1.20E-01,1.780
1.20E-01,1.760
1.20E-01,1.740
1.20E-01,1.780
1.20E-01,1.740
1.20E-01,1.760
1.20E-01,1.780
1.21E-01,1.740
1.21E-01,1.760
1.21E-01,1.780
1.21E-01,1.740
1.21E-01,1.740
1.21E-01,1.760
1.21E-01,1.740
1.21E-01,1.760
1.21E-01,1.740
1.21E-01,1.740
1.22E-01,1.760
1.22E-01,1.740
1.22E-01,1.760
1.22E-01,1.740
1.22E-01,1.740
1.22E-01,1.740
1.22E-01,1.760
1.22E-01,1.740
1.22E-01,1.740
1.22E-01,1.740
1.23E-01,1.720
1.23E-01,1.720
1.23E-01,1.720
1.23E-01,1.720
1.23E-01,1.720
1.23E-01,1.740
1.23E-01,1.740
1.23E-01,1.740
1.23E-01,1.720
1.23E-01,1.720
1.24E-01,1.740
1.24E-01,1.740
1.24E-01,1.720
1.24E-01,1.720
1.24E-01,1.720
1.24E-01,1.740
1.24E-01,1.740
1.24E-01,1.760
1.24E-01,1.720
1.24E-01,1.740
1.25E-01,1.720
1.25E-01,1.720
1.25E-01,1.740
1.25E-01,1.740
1.25E-01,1.740
1.25E-01,1.740
1.25E-01,1.740
1.25E-01,1.720
1.25E-01,1.740
1.26E-01,1.720
1.26E-01,1.700
1.26E-01,1.720
1.26E-01,1.740
1.26E-01,1.740
1.26E-01,1.720
1.26E-01,1.720
1.26E-01,1.740
